UniProt	Concentration in g/L
PER34_ARATH	0.0080905530052
HSP7O_ARATH	0.0080871889383
ERD14_ARATH	0.0080762653785
DCDA2_ARATH	0.0080291001960
PSB2B_ARATH	0.0080263180040
ML423_ARATH	0.0080040951469
PMM_ARATH	0.0079921757962
DCUP1_ARATH	0.0079603856036
PSA3_ARATH	0.0079380701794
Y5258_ARATH	0.0079240518320
BGL18_ARATH	0.0079191100928
GSTL3_ARATH	0.0079141714354
EIF3I_ARATH	0.0079138971559
A0A384LE60_ARATH	0.0079029337659
A0A384KK41_ARATH	0.0078788677399
A0A178VNX8_ARATH	0.0078693164078
LRX4_ARATH	0.0078556917299
FLA2_ARATH	0.0077526434568
MDHX1_ARATH	0.0077496884725
4CLLA_ARATH	0.0077218060434
AKR2B_ARATH	0.0077143163906
HSP7G_ARATH	0.0077073682179
AB36G_ARATH	0.0077062998239
SPDS1_ARATH	0.0077028285659
HEM21_ARATH	0.0076924241709
PAP8_ARATH	0.0076727211135
FQR1_ARATH	0.0076634196872
A0A654G4G1_ARATH	0.0076472355735
FTSH5_ARATH	0.0076461755150
A0A178USI4_ARATH	0.0076271195703
ACLB2_ARATH	0.0076007317412
RGP2_ARATH	0.0075854686520
Q94K48_ARATH	0.0075689245044
PSBN_ARATH	0.0075247221795
RTNLA_ARATH	0.0075195082467
MCA4_ARATH	0.0075070095435
MSRB2_ARATH	0.0074792225727
LBP65_ARATH	0.0074316796645
A0A178UZ08_ARATH	0.0074270449873
GCA2_ARATH	0.0074257580899
A0A178WGM0_ARATH	0.0074255007372
METE2_ARATH	0.0074216415168
GSHRC_ARATH	0.0074100758856
A0A654ESB2_ARATH	0.0073995540029
YCF4_ARATH	0.0073887909802
XTH6_ARATH	0.0073696102206
14336_ARATH	0.0073535368671
F4IX01_ARATH	0.0073397876119
A0A178U7T2_ARATH	0.0073397876119
ARGD_ARATH	0.0073121127535
DNAJ3_ARATH	0.0072694102026
BCAT3_ARATH	0.0072694102026
TRXB2_ARATH	0.0072490317963
GLN13_ARATH	0.0072374843178
DEF01_ARATH	0.0072359794817
FKB13_ARATH	0.0072324694141
FK164_ARATH	0.0072091957205
JAL35_ARATH	0.0071733067074
XYL1_ARATH	0.0071611352597
BADH1_ARATH	0.0071003410202
A0A654FBX6_ARATH	0.0070819090556
PIFI_ARATH	0.0070706277983
BAM3_ARATH	0.0070642593866
PHS1_ARATH	0.0070605879124
A0A178UC28_ARATH	0.0070505622825
PSB1_ARATH	0.0070459210873
SR54C_ARATH	0.0070383551688
PDRP1_ARATH	0.0070317721177
RAH1B_ARATH	0.0070052586396
PAP3_ARATH	0.0069916759338
TIC55_ARATH	0.0069827160979
AL2C4_ARATH	0.0069648308574
COX2_ARATH	0.0069133660565
NTF2A_ARATH	0.0069061818216
PRS8A_ARATH	0.0068644223321
RB45B_ARATH	0.0068513501436
CLPP6_ARATH	0.0068458909766
PDI21_ARATH	0.0068276462728
RR19_ARATH	0.0068259900764
ADT2_ARATH	0.0068240977725
GCSH1_ARATH	0.0068205511163
Q38842_ARATH	0.0068177151186
PSBR_ARATH	0.0068151164900
MTHR2_ARATH	0.0068075624736
AROG_ARATH	0.0068042602248
Y1222_ARATH	0.0067233875741
GSA1_ARATH	0.0067208248991
RS3A1_ARATH	0.0067205919771
CBSX3_ARATH	0.0067150042701
CCD1_ARATH	0.0066924679138
HSP7C_ARATH	0.0066797231849
APS4_ARATH	0.0066711631166
PNSB1_ARATH	0.0066697760314
APT1_ARATH	0.0066570745155
PPA26_ARATH	0.0066464700063
OST48_ARATH	0.0066400233600
RS241_ARATH	0.0066287567712
PAP13_ARATH	0.0066271488198
NDK3_ARATH	0.0066223273056
CLPP4_ARATH	0.0066202620163
A0A178W030_ARATH	0.0065772673661
ODO2A_ARATH	0.0065670175786
PSB6_ARATH	0.0065642870007
PGML1_ARATH	0.0065531489190
RK13_ARATH	0.0065388562935
PURA_ARATH	0.0065074319365
PABP2_ARATH	0.0065074319365
EIF3F_ARATH	0.0065013454637
VATH_ARATH	0.0064826708205
A0A384L496_ARATH	0.0064759341557
GSTUD_ARATH	0.0064689802899
CGEP_ARATH	0.0064365531594
ALFC6_ARATH	0.0064329849659
RR6_ARATH	0.0064314245033
EXPA6_ARATH	0.0064283047136
SVR3_ARATH	0.0064238504962
RS202_ARATH	0.0064178421981
PATL2_ARATH	0.0064065085188
ACO1_ARATH	0.0063960814781
PIP15_ARATH	0.0063812467316
HBL2_ARATH	0.0063777091980
SYPC_ARATH	0.0063651226644
FABG_ARATH	0.0063490393394
SSRA_ARATH	0.0063459595135
A0A1P8BDF7_ARATH	0.0063255385606
DF205_ARATH	0.0063242233386
VHAA3_ARATH	0.0063226892585
A0A178WFK1_ARATH	0.0063185272025
AIG2B_ARATH	0.0063123986395
A0A178W1B1_ARATH	0.0063071503170
HP301_ARATH	0.0063034353955
F4IMR0_ARATH	0.0062951393635
IFRH_ARATH	0.0062859827673
ARGC_ARATH	0.0062527390828
DAPF_ARATH	0.0062525223832
Q8LC99_ARATH	0.0062343463964
14331_ARATH	0.0062326181082
A0A1P8B0K6_ARATH	0.0062265728715
ILVD_ARATH	0.0062095482591
CALM6_ARATH	0.0062037404002
GRS12_ARATH	0.0062022355459
LGUL_ARATH	0.0061919263742
SPP2_ARATH	0.0061636644219
APA1_ARATH	0.0061474509429
ASNS2_ARATH	0.0061404241662
SAR1A_ARATH	0.0061391474337
GMPP1_ARATH	0.0061385091670
A0A654FGN6_ARATH	0.0061370201360
Q9SVD1_ARATH	0.0061251208838
PRS7A_ARATH	0.0061242718206
DPE2_ARATH	0.0061145160492
CAOA2_ARATH	0.0061143041399
ASPG1_ARATH	0.0061032949702
ISPF_ARATH	0.0060920944836
OSC31_ARATH	0.0060916722264
ODPA3_ARATH	0.0060811253037
LECT5_ARATH	0.0060779647891
RMLCD_ARATH	0.0060632374262
UPP_ARATH	0.0060602962386
GPPL1_ARATH	0.0060514812336
PPD1_ARATH	0.0060345170590
RCCR_ARATH	0.0060309627190
TL15A_ARATH	0.0060223990978
PNSB2_ARATH	0.0060132223968
SKU5_ARATH	0.0060088475385
LEUD2_ARATH	0.0059969889606
GDI1_ARATH	0.0059924182277
RLA22_ARATH	0.0059847389410
LQY1_ARATH	0.0059601073548
A0A5S9XQY4_ARATH	0.0059520568950
